13. NAJČEŠĆA PREZIMENA, POPIS 2011.;;;;;;;;;;;;
Ime županije;Grad ili općina;"Ime grada ili
općine";Najčešća prezimena 1);;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10
Karlovačka;Općina;Netretić;FRKETIĆ;IVŠIĆ;NOVOSEL;LORKOVIĆ;POGAČIĆ;PETRUNIĆ;SPUDIĆ;MARADIN;IVANČIĆ;TRUPKOVIĆ
Karlovačka;Općina;Plaški;KOSANOVIĆ;GRBA;JOSIPOVIĆ;ŠUPICA;ŠUMONJA;VUKAS;VUKELIĆ;TRBOJEVIĆ;ŠUŠNJAR;PEŠUT
Karlovačka;Općina;Rakovica;HODAK;BIĆANIĆ;ŠPEHAR;TURKALJ;VUKOVIĆ;SABLJAK;RENDULIĆ;BRAJDIĆ;ŠEBALJ;KRIZMANIĆ
Karlovačka;Općina;Ribnik;DOLINAR;CAR;TOMAŠIĆ;NOVOSEL;JARMEK;SOPČIĆ;ŽELJEŽNJAK;CIGIĆ;BLAŽEVIĆ;Z
Karlovačka;Općina;Saborsko;MATOVINA;VUKOVIĆ;ŠPEHAR;SERTIĆ;BIĆANIĆ;KRIZMANIĆ;HODAK;GRDIĆ;KOVAČIĆ;OGRIZOVIĆ
Karlovačka;Općina;Tounj;PRIBANIĆ;BRLETIĆ;CAPAN;SKOČIĆ;FUMIĆ;REBROVIĆ;LJUBANOVIĆ;DRAŠKOVIĆ;JURAIĆ;MEAŠIĆ
Karlovačka;Općina;Vojnić;BIJELIĆ;MATIJEVIĆ;MARTINOVIĆ;ŠABIĆ;LONČAR;TUTIĆ;ZARIFOVIĆ;JOSIPOVIĆ;KARTALIJA;JURKIĆ
Karlovačka;Općina;Žakanje;RADMAN;RAHIJA;BUKOVAC;CRNIĆ;KOLIĆ;MAJHAN;BOLDIN;REHORIĆ;MIHELIĆ;RIBARIĆ
Varaždinska; ;;HORVAT;NOVAK;KOVAČIĆ;POSAVEC;PLANTAK;BIŠKUP;PINTARIĆ;HORVATIĆ;LAZAR;SLUNJSKI
Varaždinska;Grad;Ivanec;HRANIĆ;FRIŠČIĆ;VIDAČEK;SEVER;ROGINA;MUDRI;GOTAL;MARKOVIĆ;PETAK;BREGOVIĆ
Varaždinska;Grad;Lepoglava;HUSNJAK;DUBOVEČAK;ŽUPANIĆ;KRIŽANEC;BISTROVIĆ;JUG;ČRETNI;MAČEK;PINTARIĆ;DUKARIĆ
Varaždinska;Grad;Ludbreg;HORVAT;NOVAK;KOLAK;GLOŽINIĆ;HAVAIĆ;KOVAČIĆ;BAČANI;MATIJAŠEC;KRIŽANIĆ;GRABARIĆ
